CancerSite,DataType,StatisticType,Rate,ModeledRate,Year,RaceEthnicity,Sex,AgeRange,YearRange,
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.2503,5.1592,1990,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.5806,5.1969,1991,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.6289,5.235,1992,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.1399,5.2732,1993,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.2139,5.3118,1994,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.3318,5.3506,1995,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.425,5.3898,1996,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.7281,5.4292,1997,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.5937,5.4689,1998,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.1659,5.5089,1999,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.8503,5.5492,2000,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.4954,5.5897,2001,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.7069,5.6306,2002,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.6164,5.6718,2003,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.4498,5.7133,2004,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.7861,5.755,2005,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.5651,5.7971,2006,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.6465,5.8395,2007,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.8129,5.8822,2008,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.8519,5.9252,2009,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,6.0809,5.9686,2010,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,6.2393,6.0122,2011,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Myeloma,"SEER Incidence per 100,000",Age-Adjusted Rates,5.9326,6.0562,2012,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.6269,0.7015,1975,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7083,0.7286,1976,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.6392,0.7568,1977,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7877,0.7861,1978,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7994,0.8166,1979,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0544,0.8482,1980,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.803,0.881,1981,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.8977,0.9151,1982,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0939,0.9505,1983,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1498,0.9873,1984,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,0.966,1.0255,1985,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0102,1.0652,1986,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0307,1.1064,1987,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0505,1.1492,1988,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2022,1.1937,1989,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2401,1.2399,1990,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1804,1.2328,1991,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.3324,1.2258,1992,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.139,1.2188,1993,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.239,1.2118,1994,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2308,1.2049,1995,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2726,1.198,1996,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0605,1.1912,1997,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1643,1.1844,1998,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1959,1.1776,1999,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2124,1.1709,2000,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1736,1.1643,2001,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.163,1.1576,2002,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0515,1.151,2003,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2221,1.1444,2004,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1947,1.1379,2005,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0632,1.1314,2006,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1132,1.125,2007,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.066,1.1186,2008,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1525,1.1122,2009,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1116,1.1058,2010,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0976,1.0995,2011,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Mesothelioma,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1022,1.0933,2012,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5815,1.5255,1975,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4978,1.522,1976,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.3973,1.5185,1977,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4766,1.5151,1978,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6545,1.5117,1979,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.487,1.5082,1980,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5636,1.5048,1981,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4461,1.5014,1982,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.493,1.498,1983,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.354,1.4489,1984,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.376,1.4014,1985,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.3032,1.3554,1986,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4566,1.311,1987,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2576,1.268,1988,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1603,1.2264,1989,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1783,1.1862,1990,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1951,1.1473,1991,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1789,1.1097,1992,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1109,1.0733,1993,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9839,1.0382,1994,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.9437,1.0041,1995,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0445,0.9712,1996,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0168,0.9394,1997,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.056,0.9086,1998,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7845,0.8788,1999,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7306,0.85,2000,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.81,0.8221,2001,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.826,0.7952,2002,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7165,0.7691,2003,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.6796,0.7439,2004,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.7922,0.7195,2005,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.5638,0.6959,2006,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.5812,0.6731,2007,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.6949,0.651,2008,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.6635,0.6297,2009,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.636,0.609,2010,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.6459,0.5891,2011,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Floor of mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,0.5515,0.5698,2012,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1812,2.1098,1975,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.053,2.1263,1976,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1187,2.1429,1977,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.0823,2.1596,1978,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.3091,2.1765,1979,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1038,2.1935,1980,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.2391,2.2107,1981,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.3069,2.228,1982,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.226,2.2454,1983,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.2377,2.2629,1984,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.3338,2.2806,1985,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1839,2.2397,1986,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.2136,2.1995,1987,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1628,2.1601,1988,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.9515,2.1213,1989,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1961,2.0832,1990,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.1427,2.0458,1991,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.9083,2.0091,1992,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.9331,1.9731,1993,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.0346,1.9377,1994,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,2.0582,1.9029,1995,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7459,1.8688,1996,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7494,1.8352,1997,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7188,1.8023,1998,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7371,1.7699,1999,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7779,1.7382,2000,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7799,1.707,2001,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7368,1.6764,2002,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6083,1.6463,2003,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5954,1.6167,2004,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5586,1.5877,2005,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6257,1.592,2006,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.553,1.5962,2007,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6806,1.6005,2008,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5797,1.6048,2009,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.603,1.6091,2010,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5965,1.6134,2011,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Gum & other mouth,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6233,1.6177,2012,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4745,1.4936,1975,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5208,1.4948,1976,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4647,1.496,1977,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5407,1.4973,1978,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5535,1.4985,1979,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5304,1.4998,1980,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5204,1.501,1981,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.3784,1.5023,1982,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5884,1.5035,1983,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5779,1.5047,1984,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5097,1.506,1985,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2535,1.5072,1986,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.512,1.5085,1987,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4324,1.5097,1988,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.443,1.511,1989,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6057,1.5123,1990,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5089,1.5135,1991,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5611,1.5148,1992,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6342,1.516,1993,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4893,1.5173,1994,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4118,1.5185,1995,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.513,1.5198,1996,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6155,1.5211,1997,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5274,1.5223,1998,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.533,1.579,1999,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5905,1.6378,2000,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7607,1.6987,2001,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7486,1.7619,2002,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Oropharynx & Tonsil,"SEER Incidence per 100,000",Age-Adjusted Rates,1.696,1.8275,2003,White (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
